step,wall_seconds,train_loss,lr,val_loss,val_macro_f1
100,38.4,2.808906,0.00005000,,
200,75.6,1.393203,0.00010000,,
300,113.0,1.081914,0.00015000,,
400,150.9,0.886523,0.00020000,,
500,188.1,0.712461,0.00025000,,
600,225.4,0.583770,0.00030000,,
700,262.6,0.520820,0.00035000,,
800,299.9,0.459531,0.00040000,,
900,337.1,0.403652,0.00045000,,
1000,374.4,0.427773,0.00050000,,
1100,411.7,0.421172,0.00049999,,
1200,448.9,0.397012,0.00049998,,
1300,486.1,0.356387,0.00049995,,
1400,523.4,0.325088,0.00049992,,
1500,560.6,0.321924,0.00049987,,
1600,598.0,0.322666,0.00049982,,
1700,635.2,0.307871,0.00049975,,
1800,672.5,0.295908,0.00049967,,
1900,709.8,0.287813,0.00049958,,
2000,747.1,0.285547,0.00049949,,
2000,751.2,,,2.005709,0.280150
2100,788.5,0.277363,0.00049938,,
2200,826.0,0.278955,0.00049926,,
2300,863.3,0.267588,0.00049913,,
2400,900.6,0.290762,0.00049899,,
2500,937.9,0.276855,0.00049884,,
2600,975.2,0.239473,0.00049869,,
2700,1012.6,0.231699,0.00049852,,
2800,1050.4,0.219619,0.00049834,,
2900,1088.0,0.255146,0.00049815,,
3000,1125.4,0.244541,0.00049795,,
3100,1163.8,0.230146,0.00049774,,
3200,1202.2,0.224990,0.00049752,,
3300,1241.0,0.201465,0.00049729,,
3400,1279.7,0.246650,0.00049705,,
3500,1318.1,0.218818,0.00049680,,
3600,1355.4,0.251201,0.00049653,,
3700,1392.9,0.213242,0.00049626,,
3800,1430.4,0.197456,0.00049598,,
3900,1467.7,0.206797,0.00049569,,
4000,1505.0,0.213164,0.00049539,,
4000,1509.2,,,1.006535,0.372129
4100,1546.5,0.195581,0.00049508,,
4200,1583.9,0.315981,0.00049476,,
4300,1621.4,0.289687,0.00049443,,
4400,1659.4,0.288252,0.00049408,,
4500,1697.1,0.250127,0.00049373,,
4600,1734.7,0.240063,0.00049337,,
4700,1772.3,0.222544,0.00049300,,
4800,1810.0,0.206460,0.00049262,,
4900,1847.6,0.268965,0.00049223,,
5000,1885.6,0.226963,0.00049182,,
5100,1923.6,0.250459,0.00049141,,
5200,1961.7,0.212544,0.00049099,,
5300,2000.6,0.210244,0.00049056,,
5100,38.3,0.293232,0.00049141,,
5200,75.6,0.211318,0.00049099,,
5300,112.9,0.178159,0.00049056,,
5400,150.1,0.163477,0.00049012,,
5500,187.4,0.164512,0.00048967,,
5600,224.7,0.160659,0.00048921,,
5700,261.9,0.170132,0.00048874,,
5800,299.5,0.160864,0.00048825,,
5900,337.6,0.142554,0.00048776,,
6000,375.7,0.174702,0.00048726,,
6000,379.9,,,0.863657,0.367239
6100,418.0,0.189824,0.00048675,,
6200,456.0,0.180112,0.00048623,,
6300,494.1,0.156982,0.00048570,,
6400,532.0,0.129917,0.00048517,,
6500,570.8,0.140479,0.00048462,,
6600,609.5,0.151621,0.00048406,,
6700,648.1,0.145298,0.00048349,,
6800,685.8,0.136709,0.00048291,,
6900,723.6,0.135581,0.00048233,,
7000,761.4,0.139170,0.00048173,,
6100,38.5,0.183882,0.00048675,,
6200,75.9,0.139585,0.00048623,,
6300,113.7,0.113044,0.00048570,,
6400,151.5,0.100283,0.00048517,,
6500,189.7,0.106887,0.00048462,,
6600,227.5,0.102861,0.00048406,,
6700,265.3,0.111885,0.00048349,,
6800,303.2,0.107422,0.00048291,,
6900,341.6,0.092021,0.00048233,,
7000,379.9,0.121863,0.00048173,,
7100,418.2,0.181885,0.00048112,,
7200,456.1,0.165835,0.00048051,,
7300,494.0,0.145596,0.00047988,,
7400,531.9,0.120659,0.00047925,,
7500,570.0,0.129771,0.00047860,,
7600,608.5,0.138765,0.00047795,,
7700,646.9,0.138677,0.00047729,,
7800,685.2,0.127886,0.00047661,,
7900,723.7,0.124319,0.00047593,,
8000,762.5,0.130298,0.00047524,,
8000,766.7,,,1.121244,0.352314
8100,39.3,0.142749,0.00047454,,
8200,77.7,0.104004,0.00047383,,
8300,115.7,0.078896,0.00047311,,
8400,154.1,0.071940,0.00047239,,
8500,192.1,0.078665,0.00047165,,
8600,230.0,0.074604,0.00047090,,
8700,268.0,0.076252,0.00047015,,
8800,306.0,0.069973,0.00046938,,
8900,344.1,0.064128,0.00046861,,
9000,382.1,0.083345,0.00046783,,
9100,420.5,0.118940,0.00046704,,
9200,459.1,0.104075,0.00046624,,
9300,497.4,0.094036,0.00046543,,
9400,535.8,0.079907,0.00046461,,
9500,573.7,0.079070,0.00046379,,
9600,611.5,0.091941,0.00046295,,
9700,650.5,0.090837,0.00046211,,
9800,689.3,0.082965,0.00046125,,
9900,728.5,0.086582,0.00046039,,
10000,767.3,0.089500,0.00045952,,
